"year","HHID","h15dq2","h15dq3","h15dq4","h15dq5"
2009,"1013000201",201,0,,
2009,"1013000201",202,40000,,
2009,"1013000201",203,60000,,
2009,"1013000201",204,0,,
2009,"1013000201",205,7000,,
2009,"1013000201",206,0,,
2009,"1013000201",207,7000,,
2009,"1013000201",208,20000,,
2009,"1013000201",209,0,,
2009,"1013000201",301,0,,
2009,"1013000201",302,0,,
2009,"1013000201",303,20000,,
2009,"1013000201",304,0,,
2009,"1013000201",305,0,,
2009,"1013000201",306,0,,
2009,"1013000201",401,0,,
2009,"1013000201",402,0,,
2009,"1013000201",403,0,,
2009,"1013000201",404,0,,
2009,"1013000201",405,0,,
2009,"1013000201",406,0,,
2009,"1013000201",407,0,,
2009,"1013000201",408,0,,
2009,"1013000201",409,0,,
2009,"1013000201",410,0,,
2009,"1013000201",411,0,,
2009,"1013000201",501,0,,
2009,"1013000201",502,6000,,
2009,"1013000201",503,0,,
2009,"1013000201",504,0,,
2009,"1013000201",505,0,,
2009,"1013000201",506,0,,
2009,"1013000201",601,291000,,
2009,"1013000201",602,0,,
2009,"1013000201",603,285000,,
2009,"1013000201",604,111000,,
2009,"1013000201",605,0,,
2009,"1013000201",701,0,,
2009,"1013000201",702,0,,
2009,"1013000201",703,0,,
2009,"1013000204",201,70000,,
2009,"1013000204",202,60000,,
2009,"1013000204",203,60000,,
2009,"1013000204",204,,,
2009,"1013000204",205,20000,,
2009,"1013000204",206,15000,,
2009,"1013000204",207,15000,,
2009,"1013000204",208,9000,,
2009,"1013000204",209,,,
2009,"1013000204",301,,,
2009,"1013000204",302,,,
2009,"1013000204",303,3000,,
2009,"1013000204",304,,,
2009,"1013000204",305,15000,,
2009,"1013000204",306,,,
2009,"1013000204",401,,,
2009,"1013000204",402,,,
2009,"1013000204",403,,,
2009,"1013000204",404,,,
2009,"1013000204",405,,,
2009,"1013000204",406,,,
2009,"1013000204",407,,,
2009,"1013000204",408,,,
2009,"1013000204",409,,,
2009,"1013000204",410,,,
2009,"1013000204",411,,,
2009,"1013000204",501,2000,,
2009,"1013000204",502,,,
2009,"1013000204",503,,,
2009,"1013000204",504,,,
2009,"1013000204",505,,,
2009,"1013000204",506,,,
2009,"1013000204",601,,,
2009,"1013000204",602,,,
2009,"1013000204",603,,,
2009,"1013000204",604,,,
2009,"1013000204",605,,,
2009,"1013000204",701,,,
2009,"1013000204",702,,,
2009,"1013000204",703,,,
2009,"1013000206",201,50000,,
2009,"1013000206",202,60000,,
2009,"1013000206",203,30000,,
2009,"1013000206",204,,,
2009,"1013000206",205,,,
2009,"1013000206",206,30000,,
2009,"1013000206",207,20000,,
2009,"1013000206",208,20000,,
2009,"1013000206",209,,,
2009,"1013000206",301,,,
2009,"1013000206",302,,,
2009,"1013000206",303,14000,,
2009,"1013000206",304,,,
2009,"1013000206",305,30000,,
2009,"1013000206",306,,,
2009,"1013000206",401,,,
2009,"1013000206",402,15000,,
2009,"1013000206",403,240000,,
2009,"1013000206",404,,,
2009,"1013000206",405,,,
2009,"1013000206",406,,,
2009,"1013000206",407,,,
2009,"1013000206",408,,,
2009,"1013000206",409,30000,,
2009,"1013000206",410,,,
2009,"1013000206",411,,,
2009,"1013000206",501,5000,,
2009,"1013000206",502,5000,,
2009,"1013000206",503,8000,,
2009,"1013000206",504,,,
2009,"1013000206",505,,,
2009,"1013000206",506,,,
2009,"1013000206",601,180000,,
2009,"1013000206",602,,,
2009,"1013000206",603,,,
2009,"1013000206",604,,,
2009,"1013000206",605,,,
2009,"1013000206",701,,,
2009,"1013000206",702,,,
2009,"1013000206",703,,,
2009,"1013000210",201,40000,,
2009,"1013000210",202,,,
2009,"1013000210",203,,,
2009,"1013000210",204,,,
2009,"1013000210",205,,,
2009,"1013000210",206,,,
2009,"1013000210",207,,,
2009,"1013000210",208,,,
2009,"1013000210",209,,,
2009,"1013000210",301,,,
2009,"1013000210",302,,,
2009,"1013000210",303,,,
2009,"1013000210",304,,,
2009,"1013000210",305,,,
2009,"1013000210",306,,,
2009,"1013000210",401,,,
2009,"1013000210",402,,,
2009,"1013000210",403,,,
2009,"1013000210",404,,,
2009,"1013000210",405,,,
2009,"1013000210",406,,,
2009,"1013000210",407,,,
2009,"1013000210",408,,,
2009,"1013000210",409,,,
2009,"1013000210",410,,,
2009,"1013000210",411,,,
2009,"1013000210",501,6000,,
2009,"1013000210",502,,,
2009,"1013000210",503,,,
2009,"1013000210",504,,,
2009,"1013000210",505,,,
2009,"1013000210",506,,,
2009,"1013000210",601,,,
2009,"1013000210",602,,,
2009,"1013000210",603,,,
2009,"1013000210",604,,,
2009,"1013000210",605,,,
2009,"1013000210",701,,,
2009,"1013000210",702,,,
2009,"1013000210",703,,,
2009,"1013000213",201,25000,,
2009,"1013000213",202,,,
2009,"1013000213",203,,,
2009,"1013000213",204,,,
2009,"1013000213",205,,,
2009,"1013000213",206,,,
2009,"1013000213",207,,,
2009,"1013000213",208,,,
2009,"1013000213",209,,,
2009,"1013000213",301,,,
2009,"1013000213",302,,,
2009,"1013000213",303,,,
2009,"1013000213",304,,,
2009,"1013000213",305,,,
2009,"1013000213",306,,,
2009,"1013000213",401,,,
2009,"1013000213",402,,,
2009,"1013000213",403,,,
2009,"1013000213",404,,,
2009,"1013000213",405,,,
2009,"1013000213",406,,,
2009,"1013000213",407,,,
2009,"1013000213",408,,,
2009,"1013000213",409,,,
2009,"1013000213",410,,,
2009,"1013000213",411,,,
2009,"1013000213",501,,,
2009,"1013000213",502,,,
2009,"1013000213",503,,,
2009,"1013000213",504,,,
2009,"1013000213",505,,,
2009,"1013000213",506,,,
2009,"1013000213",601,,,
2009,"1013000213",602,,,
2009,"1013000213",603,,,
2009,"1013000213",604,,,
2009,"1013000213",605,,,
2009,"1013000213",701,,,
2009,"1013000213",702,,,
2009,"1013000213",703,,,
2009,"101300021302",201,,,
2009,"101300021302",202,18000,,
2009,"101300021302",203,30000,,
2009,"101300021302",204,,,
2009,"101300021302",205,,,
2009,"101300021302",206,,,
2009,"101300021302",207,,,
2009,"101300021302",208,10500,,
2009,"101300021302",209,,,
2009,"101300021302",301,,,
2009,"101300021302",302,,,
2009,"101300021302",303,,,
2009,"101300021302",304,,,
2009,"101300021302",305,,,
2009,"101300021302",306,,,
2009,"101300021302",401,,,
2009,"101300021302",402,,,
2009,"101300021302",403,,,
2009,"101300021302",404,,,
2009,"101300021302",405,,,
2009,"101300021302",406,,,
2009,"101300021302",407,,,
2009,"101300021302",408,,,
2009,"101300021302",409,,,
2009,"101300021302",410,,,
2009,"101300021302",411,,,
2009,"101300021302",501,,,
2009,"101300021302",502,,,
2009,"101300021302",503,,,
2009,"101300021302",504,,,
2009,"101300021302",505,,,
2009,"101300021302",506,,,
2009,"101300021302",601,,,
2009,"101300021302",602,,,
2009,"101300021302",603,,,
2009,"101300021302",604,,,
2009,"101300021302",605,,,
2009,"101300021302",701,,,
2009,"101300021302",702,,,
2009,"101300021302",703,,,
2009,"1021000102",201,800000,0,0
2009,"1021000102",202,500000,0,0
2009,"1021000102",203,300000,0,0
