"","Panel","total_consumption_percapita","food_consumption_percapita","non_durable_consumption_percapita","durable_consumption_percapita","non_food_per_capita","share_non_food","share_food"
"1","A: full sample",35179.6213104909,22002.8738126836,11837.9985680042,1338.74892980316,13176.7474978074,37.4556263170403,62.5443736829597
"2","B: rural areas",34856.1228608407,22537.2624252532,11011.3567556229,1307.50367996468,12318.8604355876,35.3420272379957,64.6579727620043
"3","C: urban areas",36529.5005327442,19773.001967868,15287.3709158034,1469.12764907271,16756.4985648761,45.8711406411265,54.1288593588735
"4","A: full sample",100,59.983436492052,35.3853115479914,4.63125195995662,40.016563507948,40.016563507948,59.983436492052
"5","B: rural areas",100,61.5521390666332,33.7827280512602,4.66513288210664,38.4478609333668,38.4478609333668,61.5521390666332
"6","C: urban areas",100,53.437627652436,42.0724971172039,4.48987523036008,46.562372347564,46.562372347564,53.437627652436
"7","Quintile 1 (poorest 20%)",30694.5518438042,15150.0794530768,14458.9344644031,1085.53792632423,15544.4723907274,50.6424477862676,49.3575522137324
"8","Quintile 2",31087.5987303167,18965.8148057497,10745.3810431903,1376.40288137671,12121.783924567,38.9923455642967,61.0076544357033
"9","Quintile 3",34391.2474287107,22765.0555707095,10174.4302591644,1451.76159883679,11626.1918580012,33.8056707076446,66.1943292923554
"10","Quintile 4",43690.211826258,31925.9584268955,10162.9040205959,1601.34937876669,11764.2533993626,26.9265194825451,73.0734805174549
"11","Quintile 5 (richest 20%)",1867061.49096188,1865212.28086039,1754.88252179091,94.3275797000338,1849.21010149094,0.099043877796347,99.9009561222037
"12","Quintile 1 (poorest 20%) rural ",29493.9010010387,15165.1162749462,13230.6277532267,1098.15697286591,14328.7847260926,48.5821957752822,51.4178042247178
"13","Quintile 2 rural ",30398.9492976582,19205.6875245314,9878.47088236663,1314.79089076019,11193.2617731268,36.82121267918,63.17878732082
"14","Quintile 3 rural ",34678.384462318,23634.5047235617,9578.94687265489,1464.93286610145,11043.8797387563,31.8465808312286,68.1534191687714
"15","Quintile 4 rural ",44493.6836302627,33463.5514007415,9511.61491701136,1518.51731250979,11030.1322295212,24.7903327608931,75.2096672391069
"16","Quintile 5 (richest 20%) rural",1867061.49096188,1865212.28086039,1754.88252179091,94.3275797000338,1849.21010149094,0.099043877796347,99.9009561222037
"17","Quintile 1 (poorest 20%) urban ",37331.1574313,15066.9633193251,21248.4080500599,1015.78606191498,22264.1941119749,59.6397102151129,40.3602897848871
"18","Quintile 2 urban ",33845.0014327993,18005.3468932634,14216.5527408661,1623.10179866977,15839.6545395359,46.8005728142343,53.1994271857657
"19","Quintile 3 urban ",33469.3357313089,19973.5126817948,12086.3504762633,1409.47257325084,13495.8230495142,40.3229486173801,59.6770513826199
"20","Quintile 4 urban ",40701.82746638,26207.1282551358,12585.2692625499,1909.42994869428,14494.6992112442,35.6119125688323,64.3880874311677
"21","Quintile 5 (richest 20%) urban",NA,NA,NA,NA,NA,NA,NA
