"","Panel","total_consumption_percapita","food_consumption_percapita","non_durable_consumption_percapita","durable_consumption_percapita","non_food_per_capita","share_non_food","share_food"
"1","A: full sample",36719.7681452008,21673.2491744043,14918.7330584026,127.785912393907,15046.5189707965,40.9766175845613,59.0233824154387
"2","B: rural areas",34815.6512517285,20905.0653504561,13810.1405726036,100.445328668788,13910.5859012724,39.9549782960954,60.0450217039046
"3","C: urban areas",45160.4489980752,25078.4994069482,19832.9667383845,248.982852742556,20081.949591127,44.4680025036575,55.5319974963425
"4","A: full sample",100,57.6684677602991,41.9904572822821,0.341074957418856,42.3315322397009,42.3315322397009,57.6684677602991
"5","B: rural areas",100,58.3770129155817,41.3311437531579,0.291843331260399,41.6229870844183,41.6229870844183,58.3770129155817
"6","C: urban areas",100,54.5275873101052,44.9131008974916,0.559311792403172,45.4724126898948,45.4724126898948,54.5275873101052
"7","Quintile 1 (poorest 20%)",30252.8216277142,13527.1101242446,16608.1995865828,117.511916886752,16725.7115034696,55.2864513244192,44.7135486755808
"8","Quintile 2",34175.0013962418,18371.3922413678,15630.0162134144,173.592941459583,15803.609154874,46.2431851037521,53.7568148962479
"9","Quintile 3",36526.8072422067,23032.4268164728,13353.0964532282,141.283972505663,13494.3804257339,36.9437721075747,63.0562278924253
"10","Quintile 4",47169.3517670247,33747.4847077076,13334.5107136923,87.3563456247279,13421.8670593171,28.4546353861493,71.5453646138507
"11","Quintile 5 (richest 20%)",67417.6559706191,58093.4910351175,9125.6267241406,198.538211360937,9324.16493550154,13.8304496073922,86.1695503926077
"12","Quintile 1 (poorest 20%) rural ",29298.8044187854,13776.0115120173,15421.3235564283,101.469350339805,15522.7929067681,52.9809772606811,47.0190227393189
"13","Quintile 2 rural ",32477.9314489173,17523.4085138916,14828.4209407553,126.101994270347,14954.5229350257,46.0451828914868,53.9548171085132
"14","Quintile 3 rural ",33513.6266984473,21996.9729035089,11426.7168590175,89.936935920829,11516.6537949384,34.3640928466627,65.6359071533373
"15","Quintile 4 rural ",46170.7826944759,33768.723808485,12323.6359618086,78.4229241823223,12402.0588859909,26.8612706179546,73.1387293820453
"16","Quintile 5 (richest 20%) rural",63532.2936609191,55907.6061366189,7427.45419590028,197.233328399945,7624.68752430023,12.0012785387448,87.9987214612552
"17","Quintile 1 (poorest 20%) urban ",36566.0520484888,11879.9995707318,24462.3785145218,223.673963235174,24686.052477757,67.5108498041346,32.4891501958654
"18","Quintile 2 urban ",43068.1375585621,22815.0716334677,19830.606718283,422.459206811394,20253.0659250943,47.0256367542134,52.9743632457866
"19","Quintile 3 urban ",47540.7899063144,26817.2884539495,20394.5302959732,328.971156391794,20723.501452365,43.5909910062568,56.4090089937432
"20","Quintile 4 urban ",50124.2824230324,33684.634703919,16325.8559053684,113.791813744947,16439.6477191134,32.7977717074694,67.2022282925305
"21","Quintile 5 (richest 20%) urban",82542.280119336,66602.5269722839,15736.1353928404,203.617754211754,15939.7531470521,19.311016274335,80.688983725665
